Name,State,TotalPts,PreRating,AvgOppPre
GARY HUA,15445895 / R: 1794 ->1817,6,1794,1605
DAKSHESH DARURI,14598900 / R: 1553 ->1663,6,1553,1469
ADITYA BAJAJ,14959604 / R: 1384 ->1640,6,1384,1564
PATRICK H SCHILLING,12616049 / R: 1716 ->1744,5.5,1716,1574
HANSHI ZUO,14601533 / R: 1655 ->1690,5.5,1655,1501
HANSEN SONG,15055204 / R: 1686 ->1687,5,1686,1519
GARY DEE SWATHELL,11146376 / R: 1649 ->1673,5,1649,1372
EZEKIEL HOUGHTON,15142253 / R: 1641P17->1657P24,5,1641,1468
STEFANO LEE,14954524 / R: 1411 ->1564,5,1411,1523
ANVIT RAO,14150362 / R: 1365 ->1544,5,1365,1554
CAMERON WILLIAM MC LEMAN,12581589 / R: 1712 ->1696,4.5,1712,1468
KENNETH J TACK,12681257 / R: 1663 ->1670,4.5,1663,1506
TORRANCE HENRY JR,15082995 / R: 1666 ->1662,4.5,1666,1498
BRADLEY SHAW,10131499 / R: 1610 ->1618,4.5,1610,1515
ZACHARY JAMES HOUGHTON,15619130 / R: 1220P13->1416P20,4.5,1220,1484
MIKE NIKITIN,10295068 / R: 1604 ->1613,4,1604,1386
RONALD GRZEGORCZYK,10297702 / R: 1629 ->1610,4,1629,1499
DAVID SUNDEEN,11342094 / R: 1600 ->1600,4,1600,1480
DIPANKAR ROY,14862333 / R: 1564 ->1570,4,1564,1426
JASON ZHENG,14529060 / R: 1595 ->1569,4,1595,1411
DINH DANG BUI,15495066 / R: 1563P22->1562,4,1563,1470
EUGENE L MCCLURE,12405534 / R: 1555 ->1529,4,1555,1300
ALAN BUI,15030142 / R: 1363 ->1371,4,1363,1214
MICHAEL R ALDRICH,13469010 / R: 1229 ->1300,4,1229,1357
LOREN SCHWIEBERT,12486656 / R: 1745 ->1681,3.5,1745,1363
MAX ZHU,15131520 / R: 1579 ->1564,3.5,1579,1507
GAURAV GIDWANI,14476567 / R: 1552 ->1539,3.5,1552,1222
SOFIA ADINA STANESCU-BELLU,14882954 / R: 1507 ->1513,3.5,1507,1522
CHIEDOZIE OKORIE,15323285 / R: 1602P6 ->1508P12,3.5,1602,1314
GEORGE AVERY JONES,12577178 / R: 1522 ->1444,3.5,1522,1144
RISHI SHETTY,15131618 / R: 1494 ->1444,3.5,1494,1260
JOSHUA PHILIP MATHEWS,14073750 / R: 1441 ->1433,3.5,1441,1379
JADE GE,14691842 / R: 1449 ->1421,3.5,1449,1277
MICHAEL JEFFERY THOMAS,15051807 / R: 1399 ->1400,3.5,1399,1375
JOSHUA DAVID LEE,14601397 / R: 1438 ->1392,3.5,1438,1150
SIDDHARTH JHA,14773163 / R: 1355 ->1367,3.5,1355,1388
AMIYATOSH PWNANANDAM,15489571 / R: 980P12->1077P17,3.5,980,1385
BRIAN LIU,15108523 / R: 1423 ->1439,3,1423,1539
JOEL R HENDON,12923035 / R: 1436P23->1413,3,1436,1430
FOREST ZHANG,14892710 / R: 1348 ->1346,3,1348,1391
KYLE WILLIAM MURPHY,15761443 / R: 1403P5 ->1341P9,3,1403,1248
JARED GE,14462326 / R: 1332 ->1256,3,1332,1150
ROBERT GLEN VASEY,14101068 / R: 1283 ->1244,3,1283,1107
JUSTIN D SCHILLING,15323504 / R: 1199 ->1199,3,1199,1327
DEREK YAN,15372807 / R: 1242 ->1191,3,1242,1152
JACOB ALEXANDER LAVALLEY,15490981 / R: 377P3 ->1076P10,3,377,1358
ERIC WRIGHT,12533115 / R: 1362 ->1341,2.5,1362,1392
DANIEL KHAIN,14369165 / R: 1382 ->1335,2.5,1382,1356
MICHAEL J MARTIN,12531685 / R: 1291P12->1259P17,2.5,1291,1286
SHIVAM JHA,14773178 / R: 1056 ->1111,2.5,1056,1296
TEJAS AYYAGARI,15205474 / R: 1011 ->1097,2.5,1011,1356
ETHAN GUO,14918803 / R: 935 ->1092,2.5,935,1495
JOSE C YBARRA,12578849 / R: 1393 ->1359,2,1393,1345
LARRY HODGE,12836773 / R: 1270 ->1200,2,1270,1206
ALEX KONG,15412571 / R: 1186 ->1163,2,1186,1406
MARISA RICCI,14679887 / R: 1153 ->1140,2,1153,1414
MICHAEL LU,15113330 / R: 1092 ->1079,2,1092,1363
VIRAJ MOHILE,14700365 / R: 917 -> 941,2,917,1391
SEAN M MC CORMICK,12841036 / R: 853 -> 878,2,853,1319
JULIA SHEN,14579262 / R: 967 -> 984,1.5,967,1330
JEZZEL FARKAS,15771592 / R: 955P11-> 979P18,1.5,955,1327
ASHWIN BALAJI,15219542 / R: 1530 ->1535,1,1530,1186
THOMAS JOSEPH HOSMER,15057092 / R: 1175 ->1125,1,1175,1350
BEN LI,15006561 / R: 1163 ->1112,1,1163,1263
